id,area,name,category,status,has_tests,user_story,expected_behavior,entry_points,code_refs,gaps,notes,verified,last_updated
F-011,"agents-glue","Human-idle detector (computer-use safety gate)","keepalive","complete","true","As a developer, I don't want AutoClaw hijacking my cursor while I'm typing, so GUI automation must confirm I've been idle first.","detectIdle probes OS idle time: Windows GetLastInputInfo via inline C#/PowerShell, macOS ioreg HIDIdleTime, Linux xprintidle. Unknown → isIdle:false (fail-safe). Default threshold 3 minutes.","detectIdle(thresholdMs, platform) | DEFAULT_IDLE_THRESHOLD_MS","src/keepalive/idleDetector.ts:88 | src/keepalive/idleDetector.ts:46","","Linux path depends on xprintidle being installed; absent → unknown → treated as active. Tested via computerUse idle-probe injection.",,2026-06-27
F-012,"agents-glue","Keep-alive config loader from scope.json","keepalive","complete","true","As an agent author, I want to declare keepalive_strategy / keepalive_cli_command / playwright_script in my scope.json so that the chain knows how to wake me.","loadKeepaliveConfig reads .autoclaw/orchestrator/agents/<id>/scope.json; missing file / bad JSON / missing fields all degrade to DEFAULT_KEEPALIVE_CHAIN. Returns agentId, strategy, cliCommand, playwrightScript, ideLabel.","loadKeepaliveConfig(workspaceRoot, agentId)","src/keepalive/strategyChain.ts:81 | src/keepalive/types.ts:50","","Covered indirectly via strategyChain tests (not in CI list).",,2026-06-27
F-013,"agents-glue","Keep-alive strategy chain (runner → cli → computer_use → toast)","keepalive","complete","true","As an orchestrator operator, I want a stalled agent automatically re-kicked through a priority fallback chain so that work resumes without me babysitting every window.","StrategyChain.run() tries each strategy in the agent's declared order; a 'skipped' result advances to the next, only 'success' stops the chain, and exhaustion yields ok:false. No LLM calls — pure orchestration.","StrategyChain (exported from src/keepalive) | StrategyChain.run(config, health, prompt) | loadKeepaliveConfig(workspaceRoot, agentId)","src/keepalive/strategyChain.ts:273 | src/keepalive/strategyChain.ts:308 | src/keepalive/types.ts:34","","keepalive-strategyChain.test.ts (10 tests) exists but is NOT in package.json test:unit CI file list — it does not run in CI.",,2026-06-27
F-014,"agents-glue","Non-message hook event builders + in-process bus","hooks","complete","true","As a subsystem author, I want to emit consensus/autobuild_fail/stall events into the hook engine without import cycles so that those sources can trigger wakes.","hookEvents.ts builds heartbeat_stall/claim_stale/consensus/autobuild_fail events (pure, deterministic with injected now). hookBus.ts is a leaf emitter: registerHookHandler / emitHookEvent; handler throws are swallowed so an emit never breaks consensus or autobuild.","buildHeartbeatStallEvents | buildClaimStaleEvents | buildConsensusEvent | buildAutobuildFailEvent | registerHookHandler / emitHookEvent","src/hooks/hookEvents.ts:39 | src/hooks/hookEvents.ts:82 | src/hooks/hookBus.ts:26","","Bus binds handlers per workspace root for multi-root correctness.",,2026-06-27
F-015,"agents-glue","Per-IDE computer-use scripts registry (Kilo Code, Cursor)","keepalive","complete","true","As an integrator, I want pluggable per-IDE submission scripts so that new IDEs lacking a headless path can be driven by id.","resolveScript(id) maps a playwright_script id to an IdeComputerUseScript (focus/click/type/press/wait steps + window title match). Two ships: 'kilocode-chat-submit', 'cursor-chat-submit'. Unknown id → null → strategy skips. Scripts contain zero Playwright imports.","resolveScript(id) | listScriptIds() | kilocodeChatSubmit | cursorChatSubmit","src/keepalive/scripts/index.ts:15 | src/keepalive/scripts/kilocode-chat-submit.ts:16 | src/keepalive/scripts/cursor-chat-submit.ts:15","","Only 2 IDEs shipped. Selectors are best-effort and unverified against live DOM since the driver is a stub.",,2026-06-27
F-016,"agents-glue","Per-persona bi-temporal memory (sharded tiers + promotion + digest)","personas","complete","true","As a persona, I want my lessons to accumulate across sessions, age scratch→recall→archive, and surface a human digest so that I get smarter per project over time.","personas.ts manages scratch/recall/archive lessons.jsonl + lessons.md digest. appendLesson/readAllLessons; promoteLessons ages entries (promoteAfter 2, archiveAfter 8 sessions, drops superseded); writeDigest writes last-N newest-first.","appendLesson(root, entry) | promoteLessons(root, config) | writeDigest(root, persona, limit) | readAllLessons(root)","src/memory/personas.ts:117 | src/memory/personas.ts:163 | src/memory/personas.ts:236","","Lives under src/memory (re-exported via src/memory/index.ts) but is persona-specific. personaMemory.test.ts (12 tests) IS in CI list.",,2026-06-27
F-017,"agents-glue","Persona dispatch with provider fallback chain + ledger","personas","complete","true","As a user, I want to run a persona against a prompt and have it fall back to a secondary provider on failure so that a single unreachable model doesn't block the role.","PersonaLoader.dispatch builds [preferred, fallback], tries each via resolveProvider; success appends a persona_dispatch row to comms-log.jsonl. tool_denied stops the chain and writes a finding_report to shared inbox. Unknown persona → structured error listing available ids.","PersonaLoader.dispatch(id, {prompt, sessionId, ...}) | DispatchResult","src/personas/loader.ts:109 | src/personas/loader.ts:210 | src/personas/loader.ts:193","","Cost ledger here is a comms-log JSONL append, distinct from the llm cost ledger.",,2026-06-27
F-018,"agents-glue","Persona global-memory mirror with secret/privacy gating","personas","complete","true","As a security-conscious user, I want a persona's cross-project lessons mirrored to ~/.autoclaw only when they're privacy-cleared so that secrets and project-only facts never leak.","mirrorToGlobal copies only entries passing isPromotableToGlobal: 'project' never leaves; a secret-scan (token prefixes, Bearer, key=val, PRIVATE KEY, internal host:port, private endpoints) blocks any entry regardless of label. Idempotent by subject; marks mirrored entries 'global'.","mirrorToGlobal(projectRoot, globalRoot) | isPromotableToGlobal(entry) | containsSecret(content)","src/memory/personas.ts:211 | src/memory/personas.ts:85 | src/memory/personas.ts:64","","Enforces the steering doc's 'never promote secrets/proprietary names' rule.",,2026-06-27
F-019,"agents-glue","Persona profile loader (SKILL.md frontmatter → PersonaProfile)","personas","complete","true","As the orchestrator, I want to load a persona's profile (mission, triggers, tools, provider chain, memory roots) from its SKILL.md so that I can instantiate a specialized role per project.","PersonaLoader.list()/load() scan skills/<id>/SKILL.md, parse shallow frontmatter, and buildProfile() maps fields to PersonaProfile with local-first provider defaults (ollama:llama3.1:70b → claude-code-runner fallback) and project + global memory roots. Profiles cached.","PersonaLoader.list() | PersonaLoader.load(id) | buildProfile(id, fm) | parseFrontmatter(content)","src/personas/loader.ts:57 | src/personas/loader.ts:248 | src/personas/frontmatter.ts:22","","personas-loader.test.ts (13 tests) IS in CI list. successCriteria is hardcoded to [] in buildProfile — the typed Given/When/Then field is never populated from frontmatter.",,2026-06-27
F-020,"agents-glue","toast strategy + 'Awaiting You' handoff","keepalive","complete","true","As an operator, I want a clear OS notification and panel entry when automation can't revive an agent so that I know to step in manually.","toastStrategy fires an OS notification (Win NotifyIcon balloon / mac osascript / Linux notify-send), pushes a VS Code warning via injected bridge, and appends an entry to .autoclaw/runtime/awaiting-you.jsonl. Always reports 'success' (human handoff IS success).","toastStrategy(opts) | notifyAwaitingYou(opts) | appendAwaitingYou(workspaceRoot, entry)","src/keepalive/strategyChain.ts:212 | src/keepalive/notify.ts:99 | src/keepalive/notify.ts:77","","Fleet panel is expected to tail awaiting-you.jsonl; that consumer is outside this scope.",,2026-06-27
F-021,"agents-glue","Trigger-hook rule engine (hooks.yaml load + pure matcher)","hooks","complete","true","As an operator, I want event-driven YAML rules that wake agents on fleet events so that reviews/stalls/consensus auto-route without manual nudging.","parseHooksYaml parses a flat YAML subset (no dep), dropping invalid rules. matchHooks filters by on/equality/_gte/_lte, applies per-rule cooldown (default 300s) and global cap (30/hr), respects HALT, and ignores via_hook events (no self-amplification). loadHookRules returns [] when hooks.yaml absent (zero-config).","parseHooksYaml(text, onWarn) | matchHooks(rules, event, state, now, max) | loadHookRules(workspaceRoot) | .autoclaw/orchestrator/hooks.yaml","src/hooks/triggerHooks.ts:120 | src/hooks/triggerHooks.ts:271 | src/hooks/triggerHooks.ts:214","","triggerHooks.test.ts (47 tests) IS in CI list. Precedence: HALT > cooldown > cap > fire.",,2026-06-27
F-022,"agents-glue","Trigger-hooks runtime (InboxWatcher + stall tick + in-proc bus)","hooks","complete","true","As an operator, I want hooks to fire automatically off inbox messages, heartbeat/claim staleness, consensus and autobuild events so that the fleet reacts in real time.","startTriggerHooksRuntime watches the comms tree; zero rules → inert no-op handle. Serializes message/bus/tick handling through one queue; refreshes HALT from disk each event; starts a stall/claim tick only when a rule listens for it (default 60s, 600s staleness floor). Wired in extension.ts activate().","startTriggerHooksRuntime(opts) | extension.ts activate() (src/extension.ts:926)","src/hooks/triggerHooks.ts:590 | src/extension.ts:926 | src/hooks/triggerHooks.ts:511","","Dispatch target coerced to VendorKind union ('other' fallback). Runtime is wired into extension activation.",,2026-06-27
F-023,"distributed","Hosted (paid) relay with server-side entitlement gate (AF-10b)","relay-server","missing","false","As the vendor, I want a server-side per-token subscription/tier check at the relay so that the hosted relay is a paid feature while the OSS client stays open and unmetered.","Per docs/specs/relay-entitlement.spec.md: before accepting heartbeat/inbox/flush, the hosted relay would authenticate the token, resolve a subscription (free/pro/enterprise), enforce tier + max_machines + retention, and return 402/429 when over limit.","(intended) entitlement check at resolveAccount in a hosted variant","docs/specs/relay-entitlement.spec.md:1 | src/relay-server/auth.ts:6","No tier/subscription/402/429/max_machines logic exists anywhere in src/relay-server — only comments naming the future seam. BACKLOG AF-10b is 'open'; the spec is 'draft'.","Deliberately out of the public repo per the open-core boundary; the gate would live in the hosted build.",,2026-06-27
F-024,"distributed","NATS gossip transport (stubbed)","lmd","stub","true","As an operator on a NATS-equipped network, I want health beats over NATS so that gossip scales beyond a shared filesystem.","NatsGossipTransport lazily require('nats') in connect(); publishes/subscribes on ac.hb.<agent>. Currently connect() always reports available=false (TODO(nats)) so the gossip ring falls back to the filesystem transport even when the package is present.","NatsGossipTransport | createNatsTransport() | hbSubject()","src/lmd/natsGossip.ts:146 | src/lmd/natsGossip.ts:184 | src/lmd/natsGossip.ts:193","connect()/publish()/subscribe() wire calls are TODO(nats) placeholders — connect() proves the package resolves then returns false; no real publish/subscribe ever happens","Honest stub: available stays false so the FS ring is always used. The GossipTransport interface is the seam.",,2026-06-27
F-025,"distributed","A2A Agent Card publisher (DESIGN Gap D)","fabric","partial","true","As an A2A-aware peer, I want a discoverable agent-card.json per registered agent (plus an orchestrator card) so that I can find and talk to the fleet via the well-known path.","publishAgentCards writes <root>/.well-known/<id>/agent-card.json plus an agent.json A2A-canonical alias for every registry agent and the orchestrator, and returns a registry copy with agent_card_path set per agent. IO-injected writer; idempotent overwrite.","publishAgentCards() | WELL_KNOWN_DIR / A2A_CARD_FILENAME constants","src/fabric/agentCardPublisher.ts:80 | src/fabric/agentCardPublisher.ts:97","No production caller found (grep shows references only in extension.ts import region check, onboarding, and tests) — the publisher is exported + tested but not invoked from a command/tick I could locate","agentCardPublisher.test.ts covers it. Builds on agent-card.ts buildAgentCard (A2A v0.2.5).",,2026-06-27
F-026,"distributed","Cloud login / token auth (D.1) — PAT or OAuth device flow","cloud","partial","true","As a Pro user, I want to authenticate to the relay by pasting a PAT or completing a web OAuth device flow so that forwarding can use a token scoped to my installation.","cloudLogin stores a token (PAT path is offline; oauthIssuer path drives an RFC-8628 device flow via fetch) scoped to installation_id, in the OS keychain (lazy keytar) or an AES-256-GCM encrypted file fallback (chmod 0600 / icacls on Windows). getCloudToken rejects scope_mismatch/expired/corrupt. cloudLogout revokes+deletes; rotateToken replaces in place.","cloudLogin() | cloudLogout() | rotateToken() | getCloudToken() | resolveSecretStore() | resolveInstallationId()","src/cloud/auth.ts:394 | src/cloud/auth.ts:465 | src/cloud/auth.ts:646","No command or CLI entry point wires cloudLogin — extension UI says 'Run AutoClaw: Cloud Login' but no autoclaw.cloud.login command exists in package.json; login is reachable only via the exported API. keytar is intentionally not a declared dependency (TODO(keytar-dep)), so the encrypted-file fallback is the default backend.","Tested in cloudRelay.test.ts (auth paths). Strong token hygiene; per-machine scoping enforced on read.",,2026-06-27
F-027,"distributed","Governance approval gate + append-only audit log (AF-5)","fabric","partial","true","As an org admin, I want an approval gate plus an audit log so that human-in-loop and governance-controlled actions require sign-off and every dispatch is traceable.","gateDispatch(type, controlLevel) returns needsApproval=true for governance control level or human-in-loop types; appendAuditLog writes JSONL rows to .autoclaw/orchestrator/audit/<date>.jsonl; readAuditLog reads them back tolerant of missing/malformed files.","gateDispatch() | appendAuditLog() | readAuditLog()","src/fabric/governance.ts:37 | src/fabric/governance.ts:72 | src/fabric/governance.ts:84","Logic-only: gateDispatch / audit log are not invoked by any production dispatch path in extension.ts or the orchestrator loop — no caller wires the gate into actual task dispatch","BACKLOG marks AF-5 'done (logic)'. Tested in fabricRoutingGovernance.test.ts.",,2026-06-27
F-028,"distributed","LMD multi-machine gossip ring (E4) — cross-machine health view","lmd","partial","true","As an operator watching machine B, I want machine A's stalled agents to be visible so that I get one fleet-wide health picture without LLM routing.","GossipRing publishes the local health snapshot per agent on a timer to a transport, ingests peer beats into a RemoteHealthTracker (freshest-beat-wins), evicts stale remotes, and emits peer_health / remote_stall (cross-machine stall alert) events. Default transport is the filesystem ring under comms/gossip/.","new GossipRing() | GossipRing.start()/stop() | FilesystemGossipTransport | RemoteHealthTracker","src/lmd/gossip.ts:330 | src/lmd/gossip.ts:70 | src/lmd/gossip.ts:217","GossipRing is defined + tested but NOT instantiated in any production code path (extension.ts / CLI) — grep finds it only within gossip.ts and tests; the multi-machine LMD health ring is dormant","Distinct from the cluster-map gossip (election) and the cloud relay. Tested in lmd-gossip.test.ts.",,2026-06-27
F-029,"distributed","LMD stall recovery — re-kick / dead handling / quorum exclusion","lmd","partial","true","As an operator, I want stalled agents re-kicked, dead agents toasted and excluded from consensus, and recoveries logged so that the fleet self-heals without LLM cost.","On health_change: stalled => dispatch a re-kick prompt via the registered runner (logs 'no_runner' when none); dead => OS toast + consensusEngine.excludeAgent; recovered => consensusEngine.restoreAgent. All actions appended as JSONL to .autoclaw/runtime/keepalive.log.","new StallRecovery() | StallRecovery.start()/stop() | RunnerLookup / ConsensusEngineBridge seams","src/lmd/stallRecovery.ts:115 | src/lmd/stallRecovery.ts:187 | src/lmd/stallRecovery.ts:235","RunnerLookup and ConsensusEngineBridge default to stubs that warn 'wire to real engine in a future sprint' — re-kick dispatch and quorum exclusion are no-ops unless a caller injects real implementations","Tested in lmd.test.ts. The seams are intentional; production wiring (fleet-start) injects what it can.",,2026-06-27
F-030,"distributed","Pluggable cross-agent message bus (FabricBus: fs/ws/nats drivers)","fabric","partial","true","As an extension developer, I want a pluggable pub/sub bus with fs/ws/nats drivers so that fast-path notifications fan out without replacing the durable filesystem mailbox.","createFabricBus({driver}) returns an fs no-op bus, a ws bus wrapping BridgeEventBus, or a lazily-loaded NATS bus; the nats driver falls back to fs with a one-line warning when the optional 'nats' package or server is unavailable. Wired in extension.ts via autoclaw.fabric.busDriver / natsUrl settings.","createFabricBus() | autoclaw.fabric.busDriver setting | autoclaw.fabric.natsUrl setting | compileTopicMatcher()","src/fabric/bus.ts:333 | src/fabric/bus.ts:151 | src/extension.ts:252","fs driver is a deliberate no-op (publish/subscribe never deliver — FS-only relies on inbox polling) | nats driver is real but its delivery in production depends on the optional 'nats' package being installed; default config driver is 'fs'","fabric.test.ts covers all three drivers + topic matcher. ws driver repurposes BridgeEventBus 'message' channel with an __ac_topic envelope.",,2026-06-27
F-031,"distributed","Agent-type taxonomy (coder/runner/auditor/supervisor/assistant/governance)","fabric","complete","true","As an orchestrator, I want agents classified by what they DO so that I direct work and route reviews by kind with the right trust, consensus, and human-in-loop posture.","agentTypeProfile(type) returns per-type defaults (trust preset, consensus rule, humanInLoop, canOrchestrate, capabilityTags). Auditor => unanimous consensus + read-only; assistant/governance => human-in-loop. Persona and runner ids map to a default type.","agentTypeProfile() | consensusRuleForAgentType() | requiresHumanApproval() | agentTypeForPersona() | defaultAgentTypeForRunner()","src/fabric/agentTypes.ts:48 | src/fabric/agentTypes.ts:106 | src/fabric/agentTypes.ts:138","","Pure + vscode-free. Consistent with reviewSla SECURITY_TIER_PERSONAS (auditor => unanimous). Tested in fabric.test.ts.",,2026-06-27
F-032,"distributed","Capability-aware score-based task router (AF-9)","fabric","complete","true","As an orchestrator, I want to pick which agent should take THIS task now given capability, language, trust, load, cost and phase so that work routes to the best eligible agent.","routeTask/routeTasks compute score = capability_match × language_match × trust_score × idle_factor × cost_factor × phase_factor; ineligible agents (unavailable, at capacity, untrusted, criticality-1 below medium trust) score 0; no eligible agent => fallback:true with a round-robin note. Multi-task pass increments in-pass load to avoid one agent absorbing all tasks.","routeTask() | routeTasks() | scoreAgent() | agentsFromOffers() | fabric.route MCP tool","src/fabric/router.ts:199 | src/fabric/router.ts:237 | src/mcp/tools.ts:844","","Surfaced read-only over MCP as fabric.route (reads registry.json + live capability_offer messages). Tested in fabricRouter.test.ts + fabricRouteTool.test.ts.",,2026-06-27
F-033,"distributed","Cloud relay client — inert-by-default heartbeat/inbox forwarding (D.2)","cloud","complete","true","As a Pro user, I want my local heartbeats and inbox messages forwarded to a hosted relay so that a web dashboard shows a cross-machine fleet view — but only after I explicitly opt in.","CloudRelay.sendHeartbeats (batched+gzip, 60s cadence) and sendInbox (AES-256-GCM-encrypted payloads) POST to /v1/heartbeat and /v1/inbox; every send is a safe no-op (skipped: relay_disabled/no_token/...) unless enabled+https endpoint+stored token (+GA consent). Failed sends go to a bounded on-disk retry queue; flushQueue retries up to 6× then drops.","CloudRelay.sendHeartbeats() | CloudRelay.sendInbox() | CloudRelay.flushQueue() | relayIsActive() | readRelayConfig()/writeRelayConfig()","src/cloud/relay.ts:455 | src/cloud/relay.ts:502 | src/cloud/relay.ts:545","","Inert by default; HTTPS-or-loopback enforced; bearer token only in Authorization header, never queued/logged. Wired into the 30s relay tick in extension.ts. Tested in cloudRelay.test.ts.",,2026-06-27
F-034,"distributed","Cloud relay consent commands (SEC-2 / RELAY-WIRE)","cloud","complete","true","As a user, I want an explicit consent modal naming the endpoint and what is forwarded before any cross-machine forwarding so that nothing leaves my machine without informed opt-in.","autoclaw.cloud.enableRelay prompts for an https endpoint, shows a consent modal, and writes relay-config.json with tier:ga + consentAckAt; autoclaw.cloud.disableRelay sets enabled:false (inert) while keeping settings.","autoclaw.cloud.enableRelay command | autoclaw.cloud.disableRelay command","src/extension.ts:3101 | src/extension.ts:3143 | package.json:358","","GA tier requires consentAckAt before relayIsActive returns true. Tested in cloudSection.test.ts.",,2026-06-27
F-035,"distributed","Cloud relay cross-machine PULL (AF-7b / AF-10c)","cloud","complete","true","As a multi-machine user, I want my other machines' messages and heartbeats pulled down so that each machine sees the whole fleet's inbox + health.","CloudRelay.fetchInbox GETs /v1/inbox?to=…, decrypts payloads locally, skips undecryptable; fetchHeartbeats GETs /v1/heartbeat (clear) and returns rows with installation_id. forwarding.applyFetchedToInboxes writes pulled messages into recipient inboxes idempotently; applyFetchedHeartbeats caches remote rows (dropping own installation) for the fleet view.","CloudRelay.fetchInbox() | CloudRelay.fetchHeartbeats() | applyFetchedToInboxes() | fetchAndCacheHeartbeats() | readRemoteHeartbeats()","src/cloud/relay.ts:676 | src/cloud/relay.ts:705 | src/cloud/forwarding.ts:227","","Wired into the relay tick (fetchInbox + fetchAndCacheHeartbeats). Tested in cloudRelay.test.ts + cloudForwarding.test.ts.",,2026-06-27
F-036,"distributed","Cross-window cluster-map gossip (E3a) — election convergence accelerator","lmd","complete","true","As an orchestrator window, I want to learn of a remote leadership takeover promptly so that I stand down without waiting for the slow filesystem poll.","ClusterMapGossipBus publishes the host's versioned ClusterMap atomically (one file per origin) and readBeats returns fresh peer beats; RemoteClusterMapTracker merges by integer (epoch,term) into an advisory best-seen map that is NEVER written to disk and NEVER used to elect/steal/renew. Wired one-shot per orchestrator tick.","ClusterMapGossipBus.publish()/readBeats()/pruneStale() | RemoteClusterMapTracker.merge()/best() | clusterMapGossipDir()","src/lmd/clusterMapGossip.ts:86 | src/lmd/clusterMapGossip.ts:195 | src/orchestratorLoop.ts:918","","Wired into orchestratorLoop runTick (publish if active + journal a peer-newer signal). Advisory/wake-only by construction; wx-locked cluster-map.json stays sole authority. Tested in clusterMapGossip.test.ts. (LAN relay over this bus lives in src/fleet/lanGossipRelay.ts, out of scope.)",,2026-06-27
